UserID,Month,Amount
U000001,Nov,21000
U000003,Apr,37000
U000003,Oct,2000
U000003,Dec,2000
U000004,Feb,2000
U000004,Nov,1000
U000005,May,3000
U000005,Aug,3000
U000005,Oct,18000
U000005,Nov,3000
U000006,Jan,101000
U000006,Jun,2000
U000008,Mar,40000
U000008,Apr,44000
U000008,May,2000
U000008,Jun,3000
U000008,Oct,43000
U000009,Oct,38000
U000011,Jan,16000
U000011,Sep,18000
U000012,Jan,2000
U000012,Jun,2000
U000013,Feb,2000
U000013,Nov,19000
U000014,Mar,11000
U000014,Apr,3000
U000014,Jul,2000
U000014,Aug,10000
U000014,Oct,12000
U000015,Jun,18000
U000016,Mar,1000
U000016,Apr,9000
U000017,Sep,2000
U000019,Jan,2000
U000020,Feb,2000
U000020,Apr,10000
U000020,Sep,10000
U000021,Nov,2000
U000022,Apr,2000
U000022,Dec,10000
U000023,Oct,20000
U000024,Apr,45000
U000024,Sep,2000
U000024,Oct,2000
U000025,Feb,3000
U000025,Jul,24000
U000026,Apr,11000
U000026,Jun,3000
U000026,Jul,2000
U000027,Feb,11000
U000027,Jun,11000
U000027,Aug,3000
U000027,Dec,9000
U000028,Mar,11000
U000028,Dec,11000
U000029,Aug,2000
U000030,May,2000
U000031,Aug,8000
U000031,Sep,2000
U000032,Jul,2000
U000033,Jul,2000
U000034,Apr,3000
U000035,Nov,2000
U000036,Aug,3000
U000036,Sep,2000
U000037,Apr,43000
U000037,Oct,40000
U000038,Mar,2000
U000038,Aug,2000
U000038,Sep,3000
U000038,Oct,10000
U000038,Dec,2000
U000039,Apr,39000
U000040,Jul,102000
U000041,Feb,20000
U000041,Mar,22000
U000041,Sep,22000
U000041,Nov,24000
U000042,Apr,39000
U000042,May,3000
U000042,Sep,3000
U000042,Oct,41000
U000043,Jul,2000
U000044,Jan,97000
U000044,Apr,105000
U000044,Jun,2000
U000045,Oct,22000
U000045,Nov,1000
U000046,Apr,41000
U000046,Sep,2000
U000048,Jan,3000
U000048,Apr,41000
U000048,Oct,2000
U000049,May,1000
U000049,Oct,9000
U000049,Dec,8000
U000050,Jul,103000
U000050,Aug,2000
U000051,Jul,11000
U000052,Sep,21000
U000052,Dec,21000
U000053,Jan,95000
U000053,Feb,2000
U000053,Apr,2000
U000054,Jan,21000
U000054,Apr,3000
U000054,Dec,2000
U000055,Apr,40000
U000055,Oct,37000
U000056,Jan,2000
U000057,Apr,37000
U000058,Jan,100000
U000058,Jun,2000
U000058,Jul,103000
U000059,Mar,2000
U000059,May,2000
U000059,Dec,2000
U000060,Oct,40000
U000061,Nov,2000
U000061,Dec,2000
U000062,Feb,42000
U000063,Oct,2000
U000064,Apr,21000
U000064,Nov,2000
U000065,Jul,90000
U000065,Aug,90000
U000065,Nov,118000
U000066,Feb,1000
U000067,Feb,2000
U000068,Jan,10000
U000068,May,9000
U000068,Jul,2000
U000068,Aug,1000
U000068,Sep,10000
U000068,Dec,10000
U000069,Sep,20000
U000070,Feb,10000
U000070,Jun,13000
U000070,Nov,10000
U000071,Mar,22000
U000071,Apr,21000
U000071,Jun,3000
U000071,Aug,3000
U000071,Sep,1000
U000071,Nov,17000
U000072,Jan,113000
U000072,Apr,2000
U000073,Jun,1000
U000074,Jan,96000
U000074,Jul,109000
U000075,Aug,2000
U000075,Oct,36000
U000075,Dec,2000
U000076,May,2000
U000076,Jul,2000
U000076,Sep,2000
U000077,Jan,10000
U000077,Jul,11000
U000077,Nov,11000
U000078,Mar,3000
U000078,Dec,19000
U000079,Apr,44000
U000079,Jul,2000
U000079,Oct,39000
U000080,Nov,2000
U000080,Dec,11000
U000081,Apr,45000
U000081,Oct,39000
U000082,Apr,16000
U000083,Apr,44000
U000084,Jan,2000
U000084,Mar,21000
U000086,Apr,42000
U000086,Jun,2000
U000086,Oct,2000
U000087,Nov,3000
U000088,Apr,3000
U000088,Oct,38000
U000090,Jun,22000
U000092,May,2000
U000093,Jan,120000
U000093,Jul,2000
U000094,Apr,45000
U000095,Mar,2000
U000095,Oct,3000
U000095,Nov,17000
U000096,Jun,9000
U000096,Jul,10000
U000096,Sep,2000
U000096,Oct,9000
U000097,Aug,13000
U000098,Jun,1000
U000098,Jul,2000
U000098,Aug,2000
U000099,Dec,2000
U000100,Sep,22000
