Transact-ID,UserID,MainItem,Price
T00000001,U002136,FASHION-L,14420
T00000002,U001926,GOODS-L,19490
T00000003,U008955,FASHION-L,1900
T00000004,U009751,GOODS-L,1000
T00000005,U000533,FASHION-L,3190
T00000006,U004794,FASHION-L,17340
T00000007,U006298,FASHION-L,2430
T00000008,U004768,GOODS-L,1110
T00000009,U000978,FASHION-L,3690
T00000010,U005376,GOODS-H,96500
T00000011,U000832,FASHION-H,58850
T00000012,U000253,FASHION-L,4710
T00000013,U006558,FASHION-H,26060
T00000014,U009371,GOODS-L,20950
T00000015,U002659,GOODS-L,19710
T00000016,U002655,FASHION-L,23320
T00000017,U002469,FASHION-L,2520
T00000018,U009131,FASHION-H,53680
T00000019,U002164,FASHION-L,3510
T00000020,U001731,GOODS-L,1240
T00000021,U010199,FASHION-L,3130
T00000022,U000762,GOODS-L,19160
T00000023,U000472,GOODS-L,20640
T00000024,U009609,GOODS-L,19740
T00000025,U006111,GOODS-L,19680
T00000026,U001049,FASHION-L,3090
T00000027,U009391,FASHION-L,1360
T00000028,U001013,FASHION-H,57960
T00000029,U007236,FASHION-L,21640
T00000030,U005637,GOODS-L,570
T00000031,U001187,FASHION-L,23140
T00000032,U007885,FASHION-L,2510
T00000033,U006903,GOODS-L,20730
T00000034,U009774,FASHION-L,2570
T00000035,U007877,GOODS-L,730
T00000036,U008227,FASHION-L,2430
T00000037,U010234,FASHION-L,16000
T00000038,U003999,FASHION-L,3120
T00000039,U000165,FASHION-H,24120
T00000040,U002414,FASHION-L,2840
T00000041,U006714,FASHION-L,2920
T00000042,U005939,GOODS-H,270360
T00000043,U001843,FASHION-H,17790
T00000044,U002134,GOODS-L,1200
T00000045,U008427,GOODS-L,20230
T00000046,U001875,FASHION-L,2790
T00000047,U009970,GOODS-L,1230
T00000048,U007967,FASHION-L,3050
T00000049,U001302,FASHION-H,77770
T00000050,U005336,FASHION-H,86980
T00000051,U005334,GOODS-L,19500
T00000052,U005729,FASHION-L,14220
T00000053,U001171,FASHION-L,2450
T00000054,U009766,GOODS-L,20560
T00000055,U000239,FASHION-L,23790
T00000056,U005665,GOODS-L,710
T00000057,U005750,FASHION-L,19540
T00000058,U007149,FASHION-L,1450
T00000059,U008312,FASHION-H,26330
T00000060,U005964,FASHION-L,3130
T00000061,U004339,GOODS-L,20160
T00000062,U004991,FASHION-L,3810
T00000063,U002553,FASHION-L,2850
T00000064,U007890,FASHION-L,12520
T00000065,U004766,GOODS-L,1210
T00000066,U006436,GOODS-L,1190
T00000067,U001860,FASHION-L,2620
T00000068,U000684,FASHION-H,24130
T00000069,U005309,FASHION-L,3210
T00000070,U009771,GOODS-L,19880
T00000071,U000138,FASHION-L,2110
T00000072,U006241,FASHION-L,17320
T00000073,U002145,FASHION-L,23390
T00000074,U003410,GOODS-L,1120
T00000075,U004399,GOODS-L,1020
T00000076,U008578,FASHION-H,17660
T00000077,U001347,FASHION-L,2650
T00000078,U001084,FASHION-L,4380
T00000079,U001437,FASHION-L,25670
T00000080,U009707,FASHION-L,16950
T00000081,U008068,GOODS-L,20870
T00000082,U007068,GOODS-L,1270
T00000083,U000044,FASHION-H,64600
T00000084,U009135,GOODS-L,19310
T00000085,U000396,FASHION-L,3320
T00000086,U005535,FASHION-L,15240
T00000087,U003714,FASHION-L,1130
T00000088,U000037,FASHION-L,22630
T00000089,U008227,FASHION-L,2800
T00000090,U008709,FASHION-L,29790
T00000091,U009934,FASHION-L,25770
T00000092,U007437,FASHION-L,3130
T00000093,U001078,GOODS-L,970
T00000094,U000084,FASHION-L,3020
T00000095,U010083,FASHION-L,2940
T00000096,U001318,FASHION-L,26740
T00000097,U002380,FASHION-L,2970
T00000098,U003943,FASHION-L,2640
T00000099,U000512,FASHION-L,4880
T00000100,U003941,FASHION-L,11200
T00000101,U005375,FASHION-L,2780
T00000102,U003228,GOODS-L,1060
T00000103,U007105,FASHION-L,3120
T00000104,U000699,GOODS-L,19820
T00000105,U004170,FASHION-H,58860
T00000106,U000378,FASHION-L,11400
T00000107,U009298,GOODS-L,960
T00000108,U008345,GOODS-L,19320
T00000109,U007908,FASHION-L,2250
T00000110,U006647,GOODS-L,850
